1	6.789999924429026557e-01 6.789999924429026557e-01 6.789999924429026557e-01 6.789999924429026557e-01 6.789999924429026557e-01 6.789999924429026557e-01 6.789999924429026557e-01 6.789999924429026557e-01 6.789999924429026557e-01 6.789999924429026557e-01
2	6.419999925498696136e-01 6.419999925498696136e-01 6.419999925498696136e-01 6.419999925498696136e-01 6.419999925498696136e-01 6.419999925498696136e-01 6.419999925498696136e-01 6.419999925498696136e-01 6.419999925498696136e-01 6.419999925498696136e-01
3	6.009999926684015392e-01 6.009999926684015392e-01 6.009999926684015392e-01 6.009999926684015392e-01 6.009999926684015392e-01 6.009999926684015392e-01 6.009999926684015392e-01 6.009999926684015392e-01 6.009999926684015392e-01 6.009999926684015392e-01
4	6.059999926539463289e-01 6.059999926539463289e-01 6.059999926539463289e-01 6.059999926539463289e-01 6.059999926539463289e-01 6.059999926539463289e-01 6.059999926539463289e-01 6.059999926539463289e-01 6.059999926539463289e-01 6.059999926539463289e-01
5	6.149999926279270390e-01 6.149999926279270390e-01 6.149999926279270390e-01 6.149999926279270390e-01 6.149999926279270390e-01 6.149999926279270390e-01 6.149999926279270390e-01 6.149999926279270390e-01 6.149999926279270390e-01 6.149999926279270390e-01
6	6.299999925845618520e-01 6.299999925845618520e-01 6.299999925845618520e-01 6.299999925845618520e-01 6.299999925845618520e-01 6.299999925845618520e-01 6.299999925845618520e-01 6.299999925845618520e-01 6.299999925845618520e-01 6.299999925845618520e-01
7	6.649999924833767118e-01 6.649999924833767118e-01 6.649999924833767118e-01 6.649999924833767118e-01 6.649999924833767118e-01 6.649999924833767118e-01 6.649999924833767118e-01 6.649999924833767118e-01 6.649999924833767118e-01 6.649999924833767118e-01
8	6.799999924400115248e-01 6.799999924400115248e-01 6.799999924400115248e-01 6.799999924400115248e-01 6.799999924400115248e-01 6.799999924400115248e-01 6.799999924400115248e-01 6.799999924400115248e-01 6.799999924400115248e-01 6.799999924400115248e-01
9	7.199999923243716182e-01 7.199999923243716182e-01 7.199999923243716182e-01 7.199999923243716182e-01 7.199999923243716182e-01 7.199999923243716182e-01 7.199999923243716182e-01 7.199999923243716182e-01 7.199999923243716182e-01 7.199999923243716182e-01
10	7.449999922520964546e-01 7.449999922520964546e-01 7.449999922520964546e-01 7.449999922520964546e-01 7.449999922520964546e-01 7.449999922520964546e-01 7.449999922520964546e-01 7.449999922520964546e-01 7.449999922520964546e-01 7.449999922520964546e-01
11	8.169999920439430241e-01 8.169999920439430241e-01 8.169999920439430241e-01 8.169999920439430241e-01 8.169999920439430241e-01 8.169999920439430241e-01 8.169999920439430241e-01 8.169999920439430241e-01 8.169999920439430241e-01 8.169999920439430241e-01
12	8.799999918618097716e-01 8.799999918618097716e-01 8.799999918618097716e-01 8.799999918618097716e-01 8.799999918618097716e-01 8.799999918618097716e-01 8.799999918618097716e-01 8.799999918618097716e-01 8.799999918618097716e-01 8.799999918618097716e-01
13	9.689999916045097805e-01 9.689999916045097805e-01 9.689999916045097805e-01 9.689999916045097805e-01 9.689999916045097805e-01 9.689999916045097805e-01 9.689999916045097805e-01 9.689999916045097805e-01 9.689999916045097805e-01 9.689999916045097805e-01
14	1.194580231153965055e+00 1.166066744005680000e+00 8.249602950811385504e-01 1.235260285413265269e+00 1.461538773071766162e+00 9.009907628774640465e-01 1.245922700679302331e+00 1.166817995238304206e+00 7.983443368434905985e-01 1.292752508497238217e+00
15	1.382999990407632218e+00 1.382999990407632218e+00 1.382999990407632218e+00 1.382999990407632218e+00 1.382999990407632218e+00 1.382999990407632218e+00 1.382999990407632218e+00 1.382999990407632218e+00 1.382999990407632218e+00 1.382999990407632218e+00
16	1.523999990000000082e+00 1.523999990000000082e+00 1.523999990000000082e+00 1.523999990000000082e+00 1.523999990000000082e+00 1.523999990000000082e+00 1.523999990000000082e+00 1.523999990000000082e+00 1.523999990000000082e+00 1.523999990000000082e+00
17	1.502999990060710722e+00 1.502999990060710722e+00 1.502999990060710722e+00 1.502999990060710722e+00 1.502999990060710722e+00 1.502999990060710722e+00 1.502999990060710722e+00 1.502999990060710722e+00 1.502999990060710722e+00 1.502999990060710722e+00
18	1.517999990017346423e+00 1.517999990017346423e+00 1.517999990017346423e+00 1.517999990017346423e+00 1.517999990017346423e+00 1.517999990017346423e+00 1.517999990017346423e+00 1.517999990017346423e+00 1.517999990017346423e+00 1.517999990017346423e+00
19	1.432999990263082335e+00 1.432999990263082335e+00 1.432999990263082335e+00 1.432999990263082335e+00 1.432999990263082335e+00 1.432999990263082335e+00 1.432999990263082335e+00 1.432999990263082335e+00 1.432999990263082335e+00 1.432999990263082335e+00
20	1.343999990520381438e+00 1.343999990520381438e+00 1.343999990520381438e+00 1.343999990520381438e+00 1.343999990520381438e+00 1.343999990520381438e+00 1.343999990520381438e+00 1.343999990520381438e+00 1.343999990520381438e+00 1.343999990520381438e+00
21	1.191621650372232555e+00 1.164203834397452120e+00 8.214706493701253720e-01 1.232381004452705486e+00 1.461188821818147687e+00 8.981103744762286567e-01 1.244062029514994006e+00 1.164256231657096130e+00 7.955434014201165915e-01 1.290399556389876690e+00
22	1.150999991078346607e+00 1.150999991078346607e+00 1.150999991078346607e+00 1.150999991078346607e+00 1.150999991078346607e+00 1.150999991078346607e+00 1.150999991078346607e+00 1.150999991078346607e+00 1.150999991078346607e+00 1.150999991078346607e+00
23	1.013999991474414220e+00 1.013999991474414220e+00 1.013999991474414220e+00 1.013999991474414220e+00 1.013999991474414220e+00 1.013999991474414220e+00 1.013999991474414220e+00 1.013999991474414220e+00 1.013999991474414220e+00 1.013999991474414220e+00
24	8.869999918415727436e-01 8.869999918415727436e-01 8.869999918415727436e-01 8.869999918415727436e-01 8.869999918415727436e-01 8.869999918415727436e-01 8.869999918415727436e-01 8.869999918415727436e-01 8.869999918415727436e-01 8.869999918415727436e-01
25	9.599999916305290704e-01 9.599999916305290704e-01 9.599999916305290704e-01 9.599999916305290704e-01 9.599999916305290704e-01 9.599999916305290704e-01 9.599999916305290704e-01 9.599999916305290704e-01 9.599999916305290704e-01 9.599999916305290704e-01
26	8.629999919109567763e-01 8.629999919109567763e-01 8.629999919109567763e-01 8.629999919109567763e-01 8.629999919109567763e-01 8.629999919109567763e-01 8.629999919109567763e-01 8.629999919109567763e-01 8.629999919109567763e-01 8.629999919109567763e-01
27	8.809999918589186407e-01 8.809999918589186407e-01 8.809999918589186407e-01 8.809999918589186407e-01 8.809999918589186407e-01 8.809999918589186407e-01 8.809999918589186407e-01 8.809999918589186407e-01 8.809999918589186407e-01 8.809999918589186407e-01
28	8.409999919745589914e-01 8.409999919745589914e-01 8.409999919745589914e-01 8.409999919745589914e-01 8.409999919745589914e-01 8.409999919745589914e-01 8.409999919745589914e-01 8.409999919745589914e-01 8.409999919745589914e-01 8.409999919745589914e-01
29	8.129999920555075477e-01 8.129999920555075477e-01 8.129999920555075477e-01 8.129999920555075477e-01 8.129999920555075477e-01 8.129999920555075477e-01 8.129999920555075477e-01 8.129999920555075477e-01 8.129999920555075477e-01 8.129999920555075477e-01
30	1.142459531256130756e+00 7.609999922058396926e-01 7.609999922058396926e-01 7.609999922058396926e-01 7.609999922058396926e-01 7.609999922058396926e-01 7.609999922058396926e-01 7.609999922058396926e-01 7.609999922058396926e-01 7.609999922058396926e-01
31	1.122697517471654027e+00 7.409999922636605341e-01 7.409999922636605341e-01 7.409999922636605341e-01 7.409999922636605341e-01 7.409999922636605341e-01 7.409999922636605341e-01 7.409999922636605341e-01 7.409999922636605341e-01 7.409999922636605341e-01
32	1.078710297805922647e+00 6.989999923850822583e-01 6.989999923850822583e-01 6.989999923850822583e-01 6.989999923850822583e-01 6.989999923850822583e-01 6.989999923850822583e-01 6.989999923850822583e-01 6.989999923850822583e-01 6.989999923850822583e-01
33	1.072364662732396834e+00 6.929999924024285995e-01 6.929999924024285995e-01 6.929999924024285995e-01 6.929999924024285995e-01 6.929999924024285995e-01 6.929999924024285995e-01 6.929999924024285995e-01 6.929999924024285995e-01 6.929999924024285995e-01
34	1.084279605184282680e+00 7.039999923706274920e-01 7.039999923706274920e-01 7.039999923706274920e-01 7.039999923706274920e-01 7.039999923706274920e-01 7.039999923706274920e-01 7.039999923706274920e-01 7.039999923706274920e-01 7.039999923706274920e-01
35	1.108531053875173811e+00 7.269999923041341461e-01 7.269999923041341461e-01 7.269999923041341461e-01 7.269999923041341461e-01 7.269999923041341461e-01 7.269999923041341461e-01 7.269999923041341461e-01 7.269999923041341461e-01 7.269999923041341461e-01
36	1.120780172441686595e+00 7.389999922694419077e-01 7.389999922694419077e-01 7.389999922694419077e-01 7.389999922694419077e-01 7.389999922694419077e-01 7.389999922694419077e-01 7.389999922694419077e-01 7.389999922694419077e-01 7.389999922694419077e-01
37	1.150484146535396768e+00 7.689999921827119778e-01 7.689999921827119778e-01 7.689999921827119778e-01 7.689999921827119778e-01 7.689999921827119778e-01 7.689999921827119778e-01 7.689999921827119778e-01 7.689999921827119778e-01 7.689999921827119778e-01
38	1.196105489168848290e+00 8.189999920381612064e-01 8.189999920381612064e-01 8.189999920381612064e-01 8.189999920381612064e-01 8.189999920381612064e-01 8.189999920381612064e-01 8.189999920381612064e-01 8.189999920381612064e-01 8.189999920381612064e-01
39	1.300403721877506857e+00 9.669999916102920423e-01 9.669999916102920423e-01 9.669999916102920423e-01 9.669999916102920423e-01 9.669999916102920423e-01 9.669999916102920423e-01 9.669999916102920423e-01 9.669999916102920423e-01 9.669999916102920423e-01
40	1.297859818722520764e+00 9.629999916218561218e-01 9.629999916218561218e-01 9.629999916218561218e-01 9.629999916218561218e-01 9.629999916218561218e-01 9.629999916218561218e-01 9.629999916218561218e-01 9.629999916218561218e-01 9.629999916218561218e-01
41	1.291537864029407512e+00 9.519999916536572293e-01 9.519999916536572293e-01 9.519999916536572293e-01 9.519999916536572293e-01 9.519999916536572293e-01 9.519999916536572293e-01 9.519999916536572293e-01 9.519999916536572293e-01 9.519999916536572293e-01
42	1.307656663068703207e+00 9.809999915698179862e-01 9.809999915698179862e-01 9.809999915698179862e-01 9.809999915698179862e-01 9.809999915698179862e-01 9.809999915698179862e-01 9.809999915698179862e-01 9.809999915698179862e-01 9.809999915698179862e-01
43	1.328628703057765925e+00 1.023999991445504687e+00 1.023999991445504687e+00 1.023999991445504687e+00 1.023999991445504687e+00 1.023999991445504687e+00 1.023999991445504687e+00 1.023999991445504687e+00 1.023999991445504687e+00 1.023999991445504687e+00
44	1.332986158132553278e+00 1.033999991416594710e+00 1.033999991416594710e+00 1.033999991416594710e+00 1.033999991416594710e+00 1.033999991416594710e+00 1.033999991416594710e+00 1.033999991416594710e+00 1.033999991416594710e+00 1.033999991416594710e+00
45	1.329871392871652347e+00 1.026999991436831294e+00 1.026999991436831294e+00 1.026999991436831294e+00 1.026999991436831294e+00 1.026999991436831294e+00 1.026999991436831294e+00 1.026999991436831294e+00 1.026999991436831294e+00 1.026999991436831294e+00
