1	0.679 0.679 0.679 0.679 0.679 0.679 0.679 0.679 0.679 0.679
2	0.642 0.642 0.642 0.642 0.642 0.642 0.642 0.642 0.642 0.642
3	0.601 0.601 0.601 0.601 0.601 0.601 0.601 0.601 0.601 0.601
4	0.606 0.606 0.606 0.606 0.606 0.606 0.606 0.606 0.606 0.606
5	0.615 0.615 0.615 0.615 0.615 0.615 0.615 0.615 0.615 0.615
6	0.630 0.630 0.630 0.630 0.630 0.630 0.630 0.630 0.630 0.630
7	0.665 0.665 0.665 0.665 0.665 0.665 0.665 0.665 0.665 0.665
8	0.680 0.680 0.680 0.680 0.680 0.680 0.680 0.680 0.680 0.680
9	0.720 0.720 0.720 0.720 0.720 0.720 0.720 0.720 0.720 0.720
10	0.745 0.745 0.745 0.745 0.745 0.745 0.745 0.745 0.745 0.745
11	0.817 0.817 0.817 0.817 0.817 0.817 0.817 0.817 0.817 0.817
12	0.880 0.880 0.880 0.880 0.880 0.880 0.880 0.880 0.880 0.880
13	0.969 0.969 0.969 0.969 0.969 0.969 0.969 0.969 0.969 0.969
14	NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
15	1.383 1.383 1.383 1.383 1.383 1.383 1.383 1.383 1.383 1.383
16	1.524 1.524 1.524 1.524 1.524 1.524 1.524 1.524 1.524 1.524
17	1.503 1.503 1.503 1.503 1.503 1.503 1.503 1.503 1.503 1.503
18	1.518 1.518 1.518 1.518 1.518 1.518 1.518 1.518 1.518 1.518
19	1.433 1.433 1.433 1.433 1.433 1.433 1.433 1.433 1.433 1.433
20	1.344 1.344 1.344 1.344 1.344 1.344 1.344 1.344 1.344 1.344
21	NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
22	1.151 1.151 1.151 1.151 1.151 1.151 1.151 1.151 1.151 1.151
23	1.014 1.014 1.014 1.014 1.014 1.014 1.014 1.014 1.014 1.014
24	0.887 0.887 0.887 0.887 0.887 0.887 0.887 0.887 0.887 0.887
25	0.960 0.960 0.960 0.960 0.960 0.960 0.960 0.960 0.960 0.960
26	0.863 0.863 0.863 0.863 0.863 0.863 0.863 0.863 0.863 0.863
27	0.881 0.881 0.881 0.881 0.881 0.881 0.881 0.881 0.881 0.881
28	0.841 0.841 0.841 0.841 0.841 0.841 0.841 0.841 0.841 0.841
29	0.813 0.813 0.813 0.813 0.813 0.813 0.813 0.813 0.813 0.813
30	0.761 0.761 0.761 0.761 0.761 0.761 0.761 0.761 0.761 0.761
31	0.741 0.741 0.741 0.741 0.741 0.741 0.741 0.741 0.741 0.741
32	0.699 0.699 0.699 0.699 0.699 0.699 0.699 0.699 0.699 0.699
33	0.693 0.693 0.693 0.693 0.693 0.693 0.693 0.693 0.693 0.693
34	0.704 0.704 0.704 0.704 0.704 0.704 0.704 0.704 0.704 0.704
35	0.727 0.727 0.727 0.727 0.727 0.727 0.727 0.727 0.727 0.727
36	0.739 0.739 0.739 0.739 0.739 0.739 0.739 0.739 0.739 0.739
37	0.769 0.769 0.769 0.769 0.769 0.769 0.769 0.769 0.769 0.769
38	0.819 0.819 0.819 0.819 0.819 0.819 0.819 0.819 0.819 0.819
39	0.967 0.967 0.967 0.967 0.967 0.967 0.967 0.967 0.967 0.967
40	0.963 0.963 0.963 0.963 0.963 0.963 0.963 0.963 0.963 0.963
41	0.952 0.952 0.952 0.952 0.952 0.952 0.952 0.952 0.952 0.952
42	0.981 0.981 0.981 0.981 0.981 0.981 0.981 0.981 0.981 0.981
43	1.024 1.024 1.024 1.024 1.024 1.024 1.024 1.024 1.024 1.024
44	1.034 1.034 1.034 1.034 1.034 1.034 1.034 1.034 1.034 1.034
45	1.027 1.027 1.027 1.027 1.027 1.027 1.027 1.027 1.027 1.027
46	1.040 1.040 1.040 1.040 1.040 1.040 1.040 1.040 1.040 1.040
47	1.009 1.009 1.009 1.009 1.009 1.009 1.009 1.009 1.009 1.009
48	0.962 0.962 0.962 0.962 0.962 0.962 0.962 0.962 0.962 0.962
49	0.963 0.963 0.963 0.963 0.963 0.963 0.963 0.963 0.963 0.963
50	0.956 0.956 0.956 0.956 0.956 0.956 0.956 0.956 0.956 0.956
51	0.938 0.938 0.938 0.938 0.938 0.938 0.938 0.938 0.938 0.938
52	0.921 0.921 0.921 0.921 0.921 0.921 0.921 0.921 0.921 0.921
53	0.914 0.914 0.914 0.914 0.914 0.914 0.914 0.914 0.914 0.914
54	0.831 0.831 0.831 0.831 0.831 0.831 0.831 0.831 0.831 0.831
55	0.793 0.793 0.793 0.793 0.793 0.793 0.793 0.793 0.793 0.793
56	0.766 0.766 0.766 0.766 0.766 0.766 0.766 0.766 0.766 0.766
57	0.740 0.740 0.740 0.740 0.740 0.740 0.740 0.740 0.740 0.740
