TIME,Sor-LATITUDE,Sor-LONGITUDE,Sor-Optode-63,Sor-Temperature-63,Sor-Tide-63,Sor-Conductivity-63,Sor-Pressure-63,Nord-LATITUDE,Nord-LONGITUDE,Nord-Temperature-23,Nord-Tide-23,Nord-Optode-23,Nord-Conductivity-23,Nord-Pressure-23
2022-05-11 04:00:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.46800041,12.47099972,60.09053421,5.263899803,12.39939976,12.39750004,12.41619968,12.38799953,-999.0
2022-05-11 04:30:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.47490025,12.47309971,60.09053421,5.263899803,12.41129971,12.41100025,12.43050003,12.4005003,-999.0
2022-05-11 05:00:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.46700001,12.47169971,60.09053421,5.263899803,12.40120029,12.40110016,12.42459965,12.38850021,-999.0
2022-05-11 05:30:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.47630024,12.47959995,60.09053421,5.263899803,12.38770008,12.38930035,12.41810036,12.38000011,-999.0
2022-05-11 06:00:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.47459984,12.47889996,60.09053421,5.263899803,12.39229965,12.39430046,12.42339993,12.38409996,-999.0
2022-05-11 06:30:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.47599983,12.47869968,60.09053421,5.263899803,12.39859962,12.40009975,12.42599964,12.3902998,-999.0
2022-05-11 07:00:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.4758997,12.48009968,60.09053421,5.263899803,12.38230038,12.38440037,12.41310024,12.37460041,-999.0
2022-05-11 07:30:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.47189999,12.47529984,60.09053421,5.263899803,12.39480019,12.3980999,12.4218998,12.38930035,-999.0
2022-05-11 08:00:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.47360039,12.47640038,60.09053421,5.263899803,12.40719986,12.40979958,12.43249989,12.40079975,-999.0
2022-05-11 08:30:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.47959995,12.48260021,60.09053421,5.263899803,12.40719986,12.40380001,12.42940044,12.39340019,-999.0
2022-05-11 09:00:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.4776001,12.48120022,60.09053421,5.263899803,12.40279961,12.39630032,12.42730045,12.39330006,-999.0
2022-05-11 09:30:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.47889996,12.48219967,60.09053421,5.263899803,12.39620018,12.39050007,12.41919994,12.38759995,-999.0
2022-05-11 10:00:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.46749973,12.47049999,60.09053421,5.263899803,12.39179993,12.39039993,12.41629982,12.38239956,-999.0
2022-05-11 10:30:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.4744997,12.48009968,60.09053421,5.263899803,12.40130043,12.40110016,12.41749954,12.39150047,-999.0
2022-05-11 11:00:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.4843998,12.48750019,60.09053421,5.263899803,12.39929962,12.39770031,12.41969967,12.38980007,-999.0
2022-05-11 11:30:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.50220013,12.50629997,60.09053421,5.263899803,12.39700031,12.3920002,12.41160011,12.38650036,-999.0
2022-05-11 12:00:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.50220013,12.50619984,60.09053421,5.263899803,12.41469955,12.41149998,12.43449974,12.40359974,-999.0
2022-05-11 12:30:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.50689983,12.50949955,60.09053421,5.263899803,12.42720032,12.42980003,12.45049953,12.41730022,-999.0
2022-05-11 13:00:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.50650024,12.5092001,60.09053421,5.263899803,12.42980003,12.4307003,12.45569992,12.41969967,-999.0
2022-05-11 13:30:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.50590038,12.50930023,60.09053421,5.263899803,12.41520023,12.41899967,12.44499969,12.4076004,-999.0
2022-05-11 14:00:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.49549961,12.50039959,60.09053421,5.263899803,12.41699982,12.41839981,12.43929958,12.40620041,-999.0
2022-05-11 14:30:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.49639988,12.49639988,60.09053421,5.263899803,12.40540028,12.40989971,12.43319988,12.39459991,-999.0
2022-05-11 15:00:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.49269962,12.49510002,60.09053421,5.263899803,12.40929985,12.41300011,12.43830013,12.40060043,-999.0
2022-05-11 15:30:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.48639965,12.48890018,60.09053421,5.263899803,12.40950012,12.41380024,12.44099998,12.40200043,-999.0
2022-05-11 16:00:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.48670006,12.48840046,60.09053421,5.263899803,12.40429974,12.39840031,12.42510033,12.38819981,-999.0
2022-05-11 16:30:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.48490047,12.48820019,60.09053421,5.263899803,12.39150047,12.38609982,12.40750027,12.37699986,-999.0
2022-05-11 17:00:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.47200012,12.47469997,60.09053421,5.263899803,12.38490009,12.38119984,12.39780045,12.37310028,-999.0
2022-05-11 17:30:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.47640038,12.47879982,60.09053421,5.263899803,12.38790035,12.38669968,12.40999985,12.37489986,-999.0
2022-05-11 18:00:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.49069977,12.49530029,60.09053421,5.263899803,12.37790012,12.38160038,12.4052,12.36929989,-999.0
2022-05-11 18:30:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.50290012,12.50689983,60.09053421,5.263899803,12.35669994,12.36260033,12.38879967,12.34710026,-999.0
2022-05-11 19:00:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.50189972,12.5060997,60.09053421,5.263899803,12.35620022,12.3604002,12.38609982,12.35149956,-999.0
2022-05-11 19:30:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.4993,12.5,60.09053421,5.263899803,12.36810017,12.37059975,12.39420033,12.35919952,-999.0
2022-05-11 20:00:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.48630047,12.49129963,60.09053421,5.263899803,12.38010025,12.38290024,12.40919971,12.37209988,-999.0
2022-05-11 20:30:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.48099995,12.48330021,60.09053421,5.263899803,12.39579964,12.39579964,12.41790009,12.38700008,-999.0
2022-05-11 21:00:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.47570038,12.47999954,60.09053421,5.263899803,12.39190006,12.38899994,12.41030025,12.38099957,-999.0
2022-05-11 21:30:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.46700001,12.46969986,60.09053421,5.263899803,12.39039993,12.38920021,12.40649986,12.37930012,-999.0
2022-05-11 22:00:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.46990013,12.47430038,60.09053421,5.263899803,12.40060043,12.39400005,12.42020035,12.3913002,-999.0
2022-05-11 22:30:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.48190022,12.4847002,60.09053421,5.263899803,12.3906002,12.39220047,12.4126997,12.38140011,-999.0
2022-05-11 23:00:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.48729992,12.49289989,60.09053421,5.263899803,12.38399982,12.3842001,12.41090012,12.37310028,-999.0
2022-05-11 23:30:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,12.48999977,12.49339962,60.09053421,5.263899803,12.39089966,12.38809967,12.41539955,12.38269997,-999.0
2022-05-12 00:00:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,10.74289989,10.7407999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2022-05-12 00:30:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,10.75930023,10.75619984,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2022-05-12 01:00:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,10.75230026,10.75259972,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2022-05-12 01:30:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,10.77649975,10.77509975,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2022-05-12 02:00:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,10.76589966,10.76360035,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2022-05-12 02:30:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,10.76860046,10.76449966,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2022-05-12 03:00:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,10.77470016,10.77330017,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2022-05-12 03:30:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,10.77439976,10.77210045,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2022-05-12 04:00:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,10.76159954,10.75730038,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2022-05-12 04:30:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,10.76089954,10.75879955,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2022-05-12 05:00:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,10.77270031,10.77140045,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2022-05-12 05:30:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,10.77569962,10.77359962,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2022-05-12 06:00:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,10.76760006,10.76109982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2022-05-12 06:30:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,10.75109959,10.74979973,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2022-05-12 07:00:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,10.74960041,10.74730015,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2022-05-12 07:30:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,10.74499989,10.74530029,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2022-05-12 08:00:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,10.76019955,10.75230026,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2022-05-12 08:30:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,10.75819969,10.7585001,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2022-05-12 09:00:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,10.76189995,10.76119995,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2022-05-12 09:30:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,10.7755003,10.76900005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2022-05-12 10:00:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,10.78759956,10.78219986,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2022-05-12 10:30:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,10.80049992,10.79759979,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2022-05-12 11:00:00,60.08598328,5.279067039,-999.0,-999.0,-999.0,10.79459953,10.79160023,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
