1	6.789999925864707020e-01 6.789999924429026557e-01 6.789999924429026557e-01 6.789999924429026557e-01 6.789999924429026557e-01 6.789999924429026557e-01 6.789999924429026557e-01 6.789999924429026557e-01 6.789999924429026557e-01 6.789999924429026557e-01
2	6.419999926997246309e-01 6.419999925498696136e-01 6.419999925498696136e-01 6.419999925498696136e-01 6.419999925498696136e-01 6.419999925498696136e-01 6.419999925498696136e-01 6.419999925498696136e-01 6.419999925498696136e-01 6.419999925498696136e-01
3	6.009999928252225398e-01 6.009999926684015392e-01 6.009999926684015392e-01 6.009999926684015392e-01 6.009999926684015392e-01 6.009999926684015392e-01 6.009999926684015392e-01 6.009999926684015392e-01 6.009999926684015392e-01 6.009999926684015392e-01
4	6.059999928099173427e-01 6.059999926539463289e-01 6.059999926539463289e-01 6.059999926539463289e-01 6.059999926539463289e-01 6.059999926539463289e-01 6.059999926539463289e-01 6.059999926539463289e-01 6.059999926539463289e-01 6.059999926539463289e-01
5	6.149999927823694978e-01 6.149999926279270390e-01 6.149999926279270390e-01 6.149999926279270390e-01 6.149999926279270390e-01 6.149999926279270390e-01 6.149999926279270390e-01 6.149999926279270390e-01 6.149999926279270390e-01 6.149999926279270390e-01
6	6.299999927364556829e-01 6.299999925845618520e-01 6.299999925845618520e-01 6.299999925845618520e-01 6.299999925845618520e-01 6.299999925845618520e-01 6.299999925845618520e-01 6.299999925845618520e-01 6.299999925845618520e-01 6.299999925845618520e-01
7	6.649999926293237440e-01 6.649999924833767118e-01 6.649999924833767118e-01 6.649999924833767118e-01 6.649999924833767118e-01 6.649999924833767118e-01 6.649999924833767118e-01 6.649999924833767118e-01 6.649999924833767118e-01 6.649999924833767118e-01
8	6.799999925834099290e-01 6.799999924400115248e-01 6.799999924400115248e-01 6.799999924400115248e-01 6.799999924400115248e-01 6.799999924400115248e-01 6.799999924400115248e-01 6.799999924400115248e-01 6.799999924400115248e-01 6.799999924400115248e-01
9	7.199999924609736812e-01 7.199999923243716182e-01 7.199999923243716182e-01 7.199999923243716182e-01 7.199999923243716182e-01 7.199999923243716182e-01 7.199999923243716182e-01 7.199999923243716182e-01 7.199999923243716182e-01 7.199999923243716182e-01
10	7.449999923844503602e-01 7.449999922520964546e-01 7.449999922520964546e-01 7.449999922520964546e-01 7.449999922520964546e-01 7.449999922520964546e-01 7.449999922520964546e-01 7.449999922520964546e-01 7.449999922520964546e-01 7.449999922520964546e-01
11	8.169999921640649365e-01 8.169999920439430241e-01 8.169999920439430241e-01 8.169999920439430241e-01 8.169999920439430241e-01 8.169999920439430241e-01 8.169999920439430241e-01 8.169999920439430241e-01 8.169999920439430241e-01 8.169999920439430241e-01
