time,lon,lat,ug1_Hs,ug2_Hs,radar_Hs,ug1_Tp,ug2_Tp,radar_Tp,wind_ms
2021-10-05 10:00:21.700,-16.540787370416666,27.114349845416665,4.297095538671233,1.7609904889887262,1.9847328339574901,9.473684210526315,9.0,9.0,5.656745370370369
2021-10-05 10:30:21.500,-16.566097135000003,27.09082761166667,3.7361364420101673,1.6047009102106375,1.8578092568350164,18.0,7.826086956521738,9.0,5.646027777777778
2021-10-05 11:00:21.500,-16.642381817083333,27.067515448333335,3.2630749863435144,1.7433002235979536,1.930022059201392,9.473684210526315,9.473684210526315,9.473684210526315,5.768208333333333
2021-10-05 11:30:21.500,-17.017266010833335,27.046261555833336,3.7843714588167545,1.785817863678678,1.9840839834315622,9.473684210526315,8.571428571428571,8.571428571428571,5.429532407407408
2021-10-05 12:00:21.500,-17.044239707083335,27.024980346250004,3.8682592468237478,1.9964798160155959,2.184447820527485,13.846153846153845,8.181818181818182,8.181818181818182,6.321236111111112
2021-10-05 12:52:33.300,-17.08141008166667,26.594741220000003,5.835584794770113,1.6786819565189754,1.8067600545459033,14.875,8.5,8.5,5.890388888888889
2021-10-05 13:00:42.100,-17.0969489475,26.580986021666664,4.347531997391867,1.9236505989735353,2.1273084857042055,12.857142857142858,9.473684210526315,9.473684210526315,6.539874999999999
2021-10-05 13:30:42.700,-17.124873337083333,26.556385748333337,4.988899784396019,2.170109587739994,2.4366579284241014,10.0,9.0,9.0,6.466995370370371
2021-10-05 14:00:42.500,-17.152313452083334,26.532531369583335,4.617725892131704,2.204004806297019,2.439310379657794,12.857142857142858,8.571428571428571,8.571428571428571,6.85711574074074
2021-10-05 14:30:42.700,-17.172039065833335,26.50237849,5.711106358594008,2.2466964268391134,2.541711323761037,10.588235294117647,9.0,9.0,7.026453703703703
2021-10-05 15:00:42.600,-17.18895135625,26.471254663333337,3.952792255397962,2.1907935430177177,2.484767528914287,10.0,9.0,9.0,6.74136574074074
2021-10-05 15:30:42.600,-17.206919552083335,26.439372419583332,3.737672217643835,2.1698865290523996,2.436694990482598,9.473684210526315,8.571428571428571,8.571428571428571,7.050032407407407
2021-10-05 16:00:42.600,-17.2265747,26.40910170291667,4.139172472065834,2.1930790068697226,2.397524774702038,13.846153846153845,9.473684210526315,9.473684210526315,6.353388888888889
2021-10-05 16:31:01.200,-17.246366132083335,26.381091247083333,3.6549516381574403,2.0402332372684464,2.28625941451636,10.0,7.826086956521738,7.826086956521738,5.768208333333333
2021-10-05 17:00:42.600,-17.2641501075,26.356410257916668,4.07025812845295,2.0023008694447184,2.3238046879424896,9.473684210526315,8.571428571428571,8.571428571428571,4.844351851851851
2021-10-05 17:30:42.600,-17.2845095975,26.337119873749998,2.5243595531670238,1.7062325921479382,1.9019001525812835,12.857142857142858,7.199999999999999,7.199999999999999,4.73074537037037
2021-10-05 18:00:42.600,-17.304025808333332,26.318307604583335,2.912832700277779,1.7923475570661707,2.0369031809598432,9.473684210526315,9.0,9.0,4.60213425925926
2021-10-05 18:30:42.600,-17.324412824583334,26.299771634583333,3.2547011386050606,1.8524620278168857,2.452575955130605,10.0,9.0,9.0,4.314902777777778
2021-10-05 19:00:42.600,-17.343318114166667,26.28206218875,3.516841016598637,1.6965170359246202,1.9076352514072843,9.473684210526315,7.826086956521738,7.826086956521738,4.662152777777778
2021-10-05 19:30:42.600,-17.363298359166667,26.263457555833337,4.1155483848609675,2.0039067808346545,2.2103544971899765,9.473684210526315,9.0,9.0,5.412384259259259
2021-10-05 20:00:42.700,-17.384405089583336,26.24288909791667,3.3776923515189763,1.967594587627471,2.228259435115687,10.0,8.571428571428571,8.571428571428571,5.633166666666667
2021-10-05 20:30:42.000,-17.408021837083336,26.2189053025,4.750412039191237,2.1542355115242326,2.406034044310161,10.588235294117647,9.0,9.0,6.014712962962964
2021-10-05 21:00:42.200,-17.430488747916666,26.195831351250003,3.9266575494207703,1.956434129859322,2.154004332400616,20.0,9.473684210526315,9.473684210526315,5.581722222222224
2021-10-05 21:30:42.700,-17.454422036249998,26.171167654583332,4.278558891713228,2.1764886279546007,2.4395308297710234,10.0,9.0,9.473684210526315,6.100453703703704
2021-10-05 22:00:42.700,-17.478354097500002,26.146891639166668,3.2418170455874487,2.0379034971598866,2.2647276042423226,12.857142857142858,9.473684210526315,8.181818181818182,5.414527777777778
2021-10-05 22:30:42.600,-17.502417808333334,26.122770927083334,4.417490497077653,2.0651949366721043,2.266604428964629,10.0,8.571428571428571,8.571428571428571,6.2505
2021-10-05 23:00:42.600,-17.528643400416666,26.096655657083335,4.146882738717195,2.2713425729099654,2.4514975094548284,12.857142857142858,9.0,9.0,6.507722222222221
2021-10-05 23:30:42.800,-17.55459936833333,26.070800975833333,3.8682395854894382,2.146798599506365,2.3373304739581475,9.473684210526315,9.473684210526315,9.473684210526315,5.654601851851853
2021-10-06 00:00:42.500,-17.580323333333336,26.046733092083333,3.8207945525605074,2.219490434010096,2.367202475005265,12.857142857142858,8.181818181818182,8.181818181818182,5.757490740740742
2021-10-06 00:31:14.800,-17.918196439130437,26.02412720782609,3.4272165712961105,2.2036581975615155,2.405471037486908,12.857142857142858,7.826086956521738,7.826086956521738,5.477714975845411
2021-10-06 01:00:42.600,-18.028141527083335,25.903720808333333,4.23334213299693,2.2601899042751636,2.4540746375099833,8.181818181818182,10.588235294117647,10.0,5.10800462962963
2021-10-06 01:30:42.600,-18.048037801666666,25.585216482916668,3.5441155225002867,2.0881363406113396,2.261221369694919,12.857142857142858,8.181818181818182,8.181818181818182,4.308472222222222
