timestamp,value,is_anomaly
1,5.142857143,0
2,4.864864865,0
3,4.864864865,0
4,4.864864865,0
5,5,0
6,6,0
7,16.36363636,0
8,16.36363636,0
9,16.36363636,0
10,8.181818182,0
11,8.571428571,0
12,16.36363636,0
13,8.571428571,0
14,16.36363636,0
15,16.36363636,0
16,16.36363636,0
17,16.36363636,0
18,9,0
19,16.36363636,0
20,15,0
21,16.36363636,0
22,16.36363636,0
23,16.36363636,0
24,9,0
25,16.36363636,0
26,15,0
27,15,0
28,9,0
29,15,0
30,15,0
31,15,0
32,15,0
33,15,0
34,15,0
35,15,0
36,15,0
37,13.84615385,0
38,13.84615385,0
39,13.84615385,0
40,15,0
41,13.84615385,0
42,12.85714286,0
43,13.84615385,0
44,13.84615385,0
45,15,0
46,-999,0
47,15,0
48,13.84615385,0
49,12.85714286,0
50,12.85714286,0
51,15,0
52,13.84615385,0
53,8.694444444,0
54,12.85714286,0
55,12.85714286,0
56,13.84615385,0
57,13.84615385,0
58,13.84615385,0
59,12,0
60,13.84615385,0
61,13.84615385,0
62,16.36363636,0
63,12.85714286,0
64,13.84615385,0
65,12.85714286,0
66,13.84615385,0
67,12.85714286,0
68,13.84615385,0
69,13.84615385,0
70,12.85714286,0
71,13.84615385,0
72,15,0
73,12.85714286,0
74,13.84615385,0
75,12.85714286,0
76,13.84615385,0
77,12.85714286,0
78,12.85714286,0
79,13.84615385,0
80,15,0
81,12.85714286,0
82,12.85714286,0
83,12.85714286,0
84,12.85714286,0
85,12.85714286,0
86,12.85714286,0
87,8.571428571,0
88,12.85714286,0
89,12.85714286,0
90,12.85714286,0
91,10,0
92,12.85714286,0
93,12.85714286,0
94,12.85714286,0
95,9.473684211,0
96,9.473684211,0
97,13.84615385,0
98,9,0
99,9,0
100,9,0
101,9.473684211,0
102,9.473684211,0
103,9.473684211,0
104,8.571428571,0
105,12,0
106,9.473684211,0
107,9.473684211,0
108,12.85714286,0
109,13.84615385,0
110,9.473684211,0
111,9.473684211,0
112,9,0
113,10,0
114,9.473684211,0
115,10,0
116,10,0
117,10,0
118,10.58823529,0
119,9.473684211,0
120,12.85714286,0
121,12,0
122,11.25,0
123,12,0
124,11.25,0
125,12.85714286,0
126,11.25,0
127,10.58823529,0
128,12,0
129,12,0
130,11.25,0
131,12,0
132,10.58823529,0
133,10.58823529,0
134,11.25,0
135,6.428571429,0
136,6.923076923,0
137,10,0
138,10.58823529,0
139,11.25,0
140,11.25,0
141,7.826086957,0
142,7.826086957,0
143,11.25,0
144,10,0
145,10.58823529,0
146,10.58823529,0
147,11.25,0
148,11.25,0
149,11.25,0
150,11.25,0
151,11.25,0
152,10.58823529,0
153,11.25,0
154,11.25,0
155,11.25,0
156,10.58823529,0
157,10.58823529,0
158,10.58823529,0
159,10.58823529,0
160,11.25,0
161,10.58823529,0
162,10,0
163,9.473684211,0
164,10.58823529,0
165,11.25,0
166,10,0
167,10,0
168,9,0
169,10.58823529,0
170,9.473684211,0
171,10,0
172,7.826086957,0
173,7.826086957,0
174,7.5,0
175,9.473684211,0
176,10,0
177,10,0
178,9.473684211,0
179,9,0
180,9,0
181,9.473684211,0
182,10,0
183,8.571428571,0
184,9.473684211,0
185,10,0
186,9.473684211,0
187,10,0
188,8.571428571,0
189,9,0
190,9,0
191,9.473684211,0
192,10,0
193,9.473684211,0
194,9.473684211,0
195,8.181818182,0
196,10,0
197,9.473684211,0
198,9,0
199,10,0
200,9,0
201,9.473684211,0
202,9.333333333,0
203,9.473684211,0
204,9.473684211,0
205,9.473684211,0
206,9,0
207,9,0
208,10,0
209,8.642857143,0
210,10,0
211,9.833333333,0
212,9.473684211,0
213,9.473684211,0
214,9.473684211,0
215,9.473684211,0
216,8.571428571,0
217,10,0
218,9.473684211,0
219,10,0
220,10,0
221,10,0
222,9.473684211,0
223,9,0
224,9.473684211,0
225,9,0
226,10,0
227,9.473684211,0
228,9.473684211,0
229,9,0
230,9,0
231,9,0
232,9,0
233,9,0
234,9,0
235,9,0
236,8.571428571,0
237,9.473684211,0
238,9,0
239,8.571428571,0
240,7.5,0
241,9,0
242,8.571428571,0
243,8.571428571,0
244,8.571428571,0
245,8.181818182,0
246,8.181818182,0
247,8.454545455,0
248,8.571428571,0
249,8.571428571,0
250,8.571428571,0
251,8.181818182,0
252,8.571428571,0
253,9.473684211,0
254,9,0
255,8.571428571,0
256,9,0
257,8.571428571,0
258,8.181818182,0
259,8.571428571,0
260,9,0
261,8.571428571,0
262,9,0
263,7.826086957,0
264,8.181818182,0
265,9,0
266,9.473684211,0
267,8.181818182,0
268,9,0
269,9,0
270,9,0
271,7.826086957,0
272,9,0
273,9.473684211,0
274,9,0
275,9.473684211,0
276,8.571428571,0
277,9,0
278,9.473684211,0
279,9,0
280,7.826086957,0
281,9,0
282,9,0
283,9,0
284,8.181818182,0
285,8.181818182,0
286,8.571428571,0
287,9.473684211,0
288,9,0
289,9,0
290,8.571428571,0
291,9.473684211,0
292,9.473684211,0
293,10,0
294,8.571428571,0
295,9.475,0
296,8.571428571,0
297,9.473684211,0
298,9,0
299,9,0
300,9.473684211,0
301,8.571428571,0
302,9.473684211,0
303,10,0
304,9.473684211,0
305,9.473684211,0
306,10,0
307,9.473684211,0
308,9.473684211,0
309,9.473684211,0
310,9,0
311,8.571428571,0
312,8.571428571,0
313,9,0
314,9.473684211,0
315,9,0
316,10,0
317,10,0
318,10,0
319,9.473684211,0
320,10,0
321,8.181818182,0
322,9.473684211,0
323,8.571428571,0
324,10,0
325,9,0
326,9.473684211,0
327,7.826086957,0
328,6.206896552,0
329,8.181818182,0
330,6.666666667,0
331,6.206896552,0
332,6.428571429,0
333,9.473684211,0
334,9,0
335,10,0
336,9.473684211,0
337,9.473684211,0
338,9.473684211,0
339,10,0
340,9.473684211,0
341,9.473684211,0
342,9.473684211,0
343,9.473684211,0
344,9.473684211,0
345,8.571428571,0
346,9.473684211,0
347,9.473684211,0
348,8.571428571,0
349,8.571428571,0
350,9.473684211,0
351,9.473684211,0
352,9.473684211,0
353,9.473684211,0
354,9.473684211,0
355,8.571428571,0
356,9,0
357,10,0
358,10,0
359,10,0
360,8.571428571,0
361,9.473684211,0
362,10.58823529,0
363,10.58823529,0
364,10.58823529,0
365,10.58823529,0
366,8.571428571,0
367,9.473684211,0
368,8.571428571,0
369,9,0
370,8.571428571,0
371,10.58823529,0
372,10,0
373,10,0
374,9,0
375,10.58823529,0
376,10,0
377,10,0
378,10.58823529,0
379,10,0
380,9.473684211,0
381,10.58823529,0
382,8.571428571,0
383,10,0
384,9.473684211,0
385,8.571428571,0
386,10,0
387,9.473684211,0
388,10.58823529,0
389,10.58823529,0
390,9,0
391,9.473684211,0
392,10,0
393,10.58823529,0
394,9.473684211,0
395,10.58823529,0
396,10.58823529,0
397,9.473684211,0
398,10.58823529,0
399,9.473684211,0
400,10.58823529,0
401,9.473684211,0
402,10,0
403,10,0
404,10,0
405,10,0
406,10.58823529,0
407,9.473684211,0
408,9,0
409,11.25,0
410,10.58823529,0
411,10.58823529,0
412,10,0
413,11.25,0
414,9.473684211,0
415,10.58823529,0
416,10.58823529,0
417,9.473684211,0
418,11.25,0
419,9.473684211,0
420,10,0
421,9.473684211,0
422,10.58823529,0
423,10,0
424,-999,0
