time,ug2_Hs,ug2_Tp,ug2_Tp_ds,ug2_Tm01,ug2_Tm01_ds,ug2_Tm02,ug2_Tm02_ds
06/10/2021 12:30,1.792532542,12,10.6599962,7.943790995,6.046637821,7.280085633,5.549134427
06/10/2021 13:00,1.94088977,13.84615385,11.99032178,8.452117628,6.480331696,7.636109622,5.967653801
06/10/2021 13:30,1.932195527,12,10.35401022,8.517830996,6.93021616,7.745279905,6.445662353
06/10/2021 14:00,1.907528726,12.85714286,11.30778249,8.332839633,6.360260623,7.589366074,5.796274824
06/10/2021 14:30,1.868591726,13.84615385,12.25198258,8.470829511,7.064889963,7.643664202,6.528818229
06/10/2021 15:00,1.779662833,11.25,9.466599604,8.31755436,7.100772934,7.470771808,6.609455718
06/10/2021 15:30,1.741780841,13.84615385,11.99473604,8.188643382,6.557404268,7.380474067,6.07101596
06/10/2021 16:00,1.813781798,12,9.852219735,8.625501975,7.362641046,7.774561669,6.974477201
06/10/2021 16:30,1.937615575,13.84615385,11.90283046,9.106503515,7.868966107,8.198401754,7.335477575
06/10/2021 17:00,1.776996388,12,10.08734052,8.522191915,7.571613971,7.66432067,7.076341816
06/10/2021 17:30,1.985242293,13.84615385,11.77585125,8.996973054,7.927885055,8.142636875,7.437116283
06/10/2021 18:00,1.914103209,13.84615385,11.39140393,9.179126176,7.921741244,8.335061874,7.529096981
06/10/2021 18:30,1.993860763,12,9.548697546,9.146361407,7.850418551,8.290149661,7.429289402
06/10/2021 19:00,2.020577859,12.85714286,10.63981767,9.213740053,7.949525078,8.354133274,7.535692768
06/10/2021 19:30,1.759365011,12.85714286,10.79555368,9.105832804,8.30004554,8.195192872,7.854588158
06/10/2021 20:00,2.179309113,12,9.619282372,9.302879308,8.478944766,8.375359122,8.157430544
06/10/2021 20:30,1.992237416,12.85714286,10.6495408,9.278037683,7.744395842,8.443467322,7.333372484
06/10/2021 21:00,2.002960526,11.25,9.330514812,9.186641903,7.046670661,8.361581073,6.458297186
06/10/2021 21:30,1.94658043,11.25,9.52323076,9.03980844,7.387242653,8.196512979,6.797360578
06/10/2021 22:00,2.056086749,12,10.15209706,9.491578954,7.716551422,8.659381077,7.141369873
06/10/2021 22:30,2.041027189,15,13.14775221,9.141880283,7.449323935,8.339203304,6.893591234
06/10/2021 23:00,1.88638272,12,10.19372523,8.770454793,6.856311376,7.931250055,6.272772796
06/10/2021 23:30,2.023940761,12.85714286,11.26047205,9.119687602,6.804698656,8.277090684,6.136890415
07/10/2021 00:00,2.027147346,12,10.43134957,9.013595137,6.198482152,8.198220053,5.522571448
07/10/2021 00:30,2.148746775,12,10.12594957,9.169525074,7.0747248,8.345323668,6.481626621
07/10/2021 01:00,1.968948151,12.85714286,10.88649809,9.041078735,7.681880467,8.192390223,7.150854898
07/10/2021 01:30,2.178687214,12.85714286,11.01998391,9.248974169,7.249839835,8.329786881,6.608315565
07/10/2021 02:00,1.958353947,13.84615385,11.92443388,9.016206123,7.044540314,8.10580082,6.399999087
07/10/2021 02:30,2.093958689,12.85714286,10.67187277,9.310328304,7.544366931,8.487605199,7.066130343
07/10/2021 03:00,2.230827955,16.36363636,14.35847143,9.537134389,7.332156095,8.678189315,6.79004373
07/10/2021 03:30,2.167467305,16.36363636,14.33815161,9.605219977,7.278391757,8.704939134,6.695962282
07/10/2021 04:03,2.195668642,16.36363636,13.91179396,9.449735011,9.079411997,8.476928998,8.480285366
07/10/2021 04:30,2.419985752,16.36363636,14.1229272,9.503643504,8.031988175,8.509178608,7.335291894
07/10/2021 05:00,2.412259142,15,12.7429327,9.97092955,8.301709161,8.846986369,7.659010448
07/10/2021 05:30,2.370135131,16.36363636,14.39559285,10.06860607,8.159733094,9.001502213,7.489479746
07/10/2021 06:00,2.619451532,15,13.14047425,10.29340587,7.919960353,9.29412096,7.244262898
07/10/2021 06:30,2.630143446,13.84615385,12.52016377,10.18973987,8.416812199,9.401487173,7.708176994
07/10/2021 07:00,2.738449134,13.84615385,12.74271926,10.28109226,8.544177665,9.503564764,7.627097581
07/10/2021 07:30,2.371334827,12.85714286,11.47716874,9.763338773,8.065600995,8.959147048,7.437247283
07/10/2021 08:00,2.534577336,15,13.53974009,9.890108813,8.094480463,9.028548323,7.444811137
07/10/2021 08:30,2.391508122,15,13.4518184,9.763000843,7.776586965,8.912064648,7.153310106
07/10/2021 09:00,2.542138409,15,13.57558953,9.592690706,7.720221642,8.791796941,7.118472858
07/10/2021 09:30,2.371884987,13.84615385,12.31595464,9.552816891,7.285505803,8.74978264,6.624807493
07/10/2021 10:00,2.448887144,15,13.49691726,9.718822139,7.688270455,8.924560577,7.101330131
07/10/2021 10:30,2.327139307,13.84615385,12.32633113,9.278415122,7.303314534,8.57966779,6.788295818
07/10/2021 11:00,2.690169813,13.84615385,12.31805333,10.552237,8.636041427,9.644028813,7.927142818
07/10/2021 11:30,2.413571352,13.84615385,12.17588941,9.882241676,7.870471459,9.057294517,7.340718351
07/10/2021 12:00,2.585099258,13.84615385,12.19441897,9.850225889,7.797206674,9.0034905,7.226364798
07/10/2021 12:30,2.56223735,12,10.33220566,9.357970752,7.138297396,8.622357639,6.582720788
07/10/2021 13:00,2.539492917,12.85714286,11.32749472,9.583034326,7.672014954,8.796545249,7.106721176
07/10/2021 13:30,2.518806577,12.85714286,11.17708917,9.538926895,7.596547445,8.765136311,7.120917114
07/10/2021 14:00,2.62060735,12.85714286,11.04900719,9.524204884,7.663033841,8.644433418,7.207668695
07/10/2021 14:30,2.336323587,13.84615385,12.10841764,9.436804718,7.37958834,8.620665772,6.877794468
07/10/2021 15:00,2.580953887,12.85714286,11.29509823,9.517129546,7.790197119,8.786922032,7.322736078
07/10/2021 15:30,2.433325472,13.84615385,12.31518231,8.899043276,6.875258429,8.065119204,6.313584651
