timestamp,value,is_anomaly
1,757.614926,0
2,756.7564074,0
3,756.3692323,0
4,756.0830595,0
5,755.157206,0
6,754.6858625,0
7,754.1471841,0
8,753.8105102,0
9,753.1371622,0
10,752.9519915,0
11,752.9856589,0
12,753.0193263,0
13,753.5748384,0
14,754.1976852,0
15,754.6521951,0
16,755.2918756,0
17,755.8810551,0
18,756.4534008,0
19,757.1099151,0
20,757.4970901,0
21,757.6822608,0
22,758.1367707,0
23,758.0862696,0
24,757.9347663,0
25,757.5475912,0
26,756.8405759,0
27,756.386066,0
28,755.9820573,0
29,755.325543,0
30,754.9047006,0
31,754.5511929,0
32,753.9956808,0
33,753.5243373,0
34,753.372834,0
35,753.3896677,0
36,753.6253395,0
37,753.7600091,0
38,754.0293482,0
39,754.6185277,0
40,755.0898712,0
41,755.7295518,0
42,756.6722389,0
43,756.9752455,0
44,757.8842652,0
45,758.5071121,0
46,758.843786,0
47,759.0457904,0
48,759.1299589,0
49,758.843786,0
50,758.2546066,0
51,757.4970901,0
52,756.9079107,0
53,756.1840617,0
54,755.3928778,0
55,754.6858625,0
56,754.096683,0
57,753.4570025,0
58,753.1539959,0
59,752.7668208,0
60,752.6321512,0
61,753.03616,0
62,753.1371622,0
63,753.6421732,0
64,754.26502,0
65,754.9888691,0
66,755.7127181,0
67,756.4197334,0
68,757.3624206,0
69,758.1031033,0
70,758.5744469,0
71,759.0626241,0
72,759.5339677,0
73,759.4497992,0
74,759.0962915,0
75,758.6922828,0
76,757.9852674,0
77,757.1772499,0
78,756.4534008,0
79,755.6117159,0
80,754.8036984,0
81,754.3323548,0
82,753.6253395,0
83,753.0529937,0
84,752.867823,0
85,752.9014904,0
86,753.2213307,0
87,753.6085058,0
88,754.2481863,0
89,754.8541995,0
90,755.5780485,0
91,756.4870682,0
92,757.0089129,0
93,757.7327619,0
94,758.5912806,0
95,758.9447882,0
96,759.2477948,0
97,759.2982959,0
98,758.8269523,0
99,758.4734447,0
100,757.9684337,0
