timestamp,value,is_anomaly
1,757.609,0
2,756.753,0
3,756.367,0
4,756.083,0
5,755.16,0
6,754.685,0
7,754.14,0
8,753.816,0
9,753.138,0
10,752.95,0
11,752.98,0
12,753.016,0
13,753.572,0
14,754.192,0
15,754.659,0
16,755.288,0
17,755.883,0
18,756.448,0
19,757.108,0
20,757.497,0
21,757.675,0
22,758.14,0
23,758.091,0
24,757.93,0
25,757.543,0
26,756.84,0
27,756.387,0
28,755.983,0
29,755.329,0
30,754.912,0
31,754.55,0
32,753.997,0
33,753.526,0
34,753.371,0
35,753.396,0
36,753.626,0
37,753.764,0
38,754.023,0
39,754.614,0
40,755.089,0
41,755.725,0
42,756.671,0
43,756.972,0
44,757.882,0
45,758.501,0
46,758.843,0
47,759.048,0
48,759.132,0
49,758.852,0
50,758.261,0
51,757.492,0
52,756.908,0
53,756.182,0
54,755.4,0
55,754.691,0
56,754.093,0
57,753.456,0
58,753.161,0
59,752.761,0
60,752.64,0
61,753.041,0
62,753.14,0
63,753.649,0
64,754.263,0
65,754.993,0
66,755.706,0
67,756.428,0
68,757.367,0
69,758.102,0
70,758.574,0
71,759.061,0
72,759.539,0
73,759.451,0
74,759.097,0
75,758.693,0
76,757.98,0
77,757.178,0
78,756.461,0
79,755.606,0
80,754.806,0
81,754.326,0
82,753.623,0
83,753.052,0
84,752.866,0
85,752.898,0
86,753.228,0
87,753.604,0
88,754.246,0
89,754.859,0
90,755.572,0
91,756.481,0
92,757.015,0
93,757.734,0
94,758.592,0
95,758.945,0
96,759.247,0
97,759.299,0
98,758.828,0
99,758.476,0
100,757.971,0
101,757.248,0
102,756.187,0
103,755.329,0
104,754.289,0
105,753.313,0
106,752.567,0
107,751.882,0
108,751.366,0
109,751.183,0
110,751.296,0
111,751.574,0
112,752.314,0
113,753.021,0
114,754.06,0
115,755.189,0
116,755.974,0
117,757.115,0
118,757.935,0
119,758.724,0
120,759.538,0
121,759.891,0
122,760.147,0
123,760.095,0
124,759.533,0
125,759.067,0
126,758.299,0
127,757.478,0
128,756.252,0
129,755.504,0
130,754.528,0
131,753.708,0
132,752.81,0
133,753.737,0
134,753.692,0
135,753.094,0
136,753.462,0
137,753.686,0
138,754.507,0
139,755.717,0
140,756.363,0
141,757.1,0
142,758.097,0
143,759.201,0
144,760.402,0
145,760.998,0
146,760.897,0
147,760.996,0
148,760.579,0
149,760.063,0
150,759.177,0
151,758.007,0
152,756.754,0
153,755.738,0
154,754.3975,0
155,753.425,0
156,752.76,0
157,751.865,0
158,751.147,0
159,751.012,0
160,751.415,0
161,752.237,0
162,752.868,0
163,754.078,0
164,754.791,0
165,755.983,0
166,757.078,0
167,757.929,0
168,758.88,0
169,759.694,0
170,760.451,0
171,760.752,0
172,760.708,0
173,760.099,0
174,759.376,0
175,758.53,0
176,757.336,0
177,756,0
178,754.876,0
179,753.78,0
180,752.892,0
181,751.975,0
182,751.198,0
183,750.854,0
184,751.055,0
185,751.646,0
186,752.422,0
187,753.298,0
188,754.343,0
189,755.448,0
190,756.569,0
191,757.714,0
192,758.794,0
193,759.356,0
194,759.909,0
195,760.492,0
196,760.369,0
197,759.99,0
198,759.32,0
199,758.533,0
200,757.388,0
201,756.299,0
202,754.71,0
203,753.539,0
204,752.255,0
205,751.524,0
206,750.591,0
207,749.653,0
208,749.277,0
209,749.753,0
210,750.239,0
211,751.116,0
212,752.16,0
213,753.438,0
214,754.556,0
215,755.842,0
216,756.805,0
217,757.796,0
218,758.799,0
219,759.761,0
220,760.228,0
221,760.24,0
222,759.835,0
223,759.235,0
224,758.48,0
225,757.221,0
226,755.654,0
227,754.441,0
228,753.303,0
229,752.338,0
230,751.165,0
231,750.323,0
232,749.81,0
233,750.04,0
234,750.587,0
235,751.238,0
236,752.324,0
237,753.45,0
238,754.459,0
239,755.884,0
240,756.789,0
241,757.606,0
242,758.843,0
243,759.681,0
244,760.303,0
245,760.715,0
246,760.55,0
247,759.868,0
248,759.35,0
249,758.528,0
250,756.973,0
251,755.708,0
252,754.8,0
253,752.92,0
254,751.924,0
255,750.917,0
256,749.894,0
257,749.676,0
258,749.7,0
259,749.946,0
260,751.26,0
261,751.871,0
262,753.182,0
263,754.343,0
264,755.907,0
265,757.006,0
266,758.142,0
267,758.985,0
268,760.028,0
269,760.704,0
270,760.953,0
271,760.517,0
272,760.054,0
273,759.383,0
274,758.277,0
275,756.685,0
276,755.219,0
277,753.897,0
278,752.848,0
279,751.829,0
280,750.954,0
281,750.233,0
282,750.305,0
283,751.002,0
284,751.725,0
285,752.824,0
286,753.776,0
287,755.037,0
288,756.479,0
289,757.017,0
290,758.068,0
291,759.168,0
292,760.053,0
293,760.987,0
294,761.377,0
295,761.231,0
296,760.78,0
297,760.318,0
298,759.352,0
299,758.221,0
300,756.879,0
301,755.584,0
302,754.249,0
303,753.205,0
304,752.135,0
305,751.201,0
306,750.35,0
307,750.325,0
308,750.554,0
309,751.292,0
310,752.214,0
311,753.385,0
312,754.613,0
313,756.008,0
314,757.084,0
315,758.06,0
316,759.214,0
317,760,0
318,760.831,0
319,761.276,0
320,761.217,0
321,760.894,0
322,760.456,0
323,759.374,0
324,757.867,0
325,756.331,0
326,754.892,0
327,753.496,0
328,752.751,0
329,751.549,0
330,750.878,0
331,750.595,0
332,750.894,0
333,751.652,0
334,752.708,0
335,753.66,0
336,754.493,0
337,755.972,0
338,756.881,0
339,758.472,0
340,758.913,0
341,759.914,0
342,760.124,0
343,761.012,0
344,761.516,0
345,761.007,0
346,760.369,0
347,759.92,0
348,758.82,0
349,757.328,0
350,755.941,0
351,754.595,0
352,753.786,0
353,752.631,0
354,751.58,0
355,750.478,0
356,750.137,0
357,750.839,0
358,751.637,0
359,751.914,0
360,752.854,0
361,753.982,0
362,755.243,0
363,756.347,0
364,757.207,0
365,758.181,0
366,759.139,0
367,760.019,0
368,760.586,0
369,760.724,0
370,760.178,0
