1	-2.092238888144493103e-02 -3.331619873642921448e-02 -1.446364820003509521e-02 1.143301278352737427e-02 9.751892066560685635e-04 1.015716604888439178e-02 1.463208626955747604e-02 -9.025022387504577637e-03 -3.474266827106475830e-02 2.226240001618862152e-03
2	1.355317980051040649e-02 1.688395743258297443e-03 8.368579670786857605e-03 9.448052383959293365e-03 -1.905008452013134956e-03 -7.867178879678249359e-03 -1.267708837985992432e-02 -7.773704826831817627e-03 -1.603205502033233643e-02 1.714268513023853302e-02
3	1.200695522129535675e-02 -1.404439564794301987e-02 -1.552065834403038025e-03 7.790067233145236969e-03 1.969019323587417603e-02 2.005525305867195129e-02 -1.983466558158397675e-03 -2.179873548448085785e-02 -1.377433072775602341e-02 -4.301920067518949509e-03
4	-3.339214250445365906e-02 -1.799705438315868378e-02 1.328095677308738232e-04 1.236383896321058273e-02 1.224401756189763546e-03 -5.057903937995433807e-03 7.502083200961351395e-03 3.106701001524925232e-02 7.990207523107528687e-03 9.143444709479808807e-03
5	4.070285242050886154e-03 9.118096902966499329e-03 -5.434130318462848663e-03 8.066163398325443268e-03 9.551306138746440411e-04 6.971485563553869724e-04 1.235051918774843216e-02 -2.567404508590698242e-02 -2.334691211581230164e-02 -1.888275146484375000e-02
6	8.590310811996459961e-03 -2.796268789097666740e-03 -5.616663023829460144e-03 -3.233619406819343567e-02 1.999321393668651581e-03 1.040363777428865433e-02 -3.326530009508132935e-02 7.083912380039691925e-03 -7.802923675626516342e-03 -1.055248826742172241e-02
7	9.981661569327116013e-04 1.279428601264953613e-02 1.043683197349309921e-02 9.787669405341148376e-04 1.696803607046604156e-02 2.382891066372394562e-02 -1.915459707379341125e-02 -2.984293736517429352e-02 1.673007197678089142e-02 1.219798997044563293e-02
8	-1.819167658686637878e-02 3.546067746356129646e-03 -1.097900676541030407e-03 1.812704280018806458e-02 3.729035705327987671e-02 2.019288763403892517e-02 4.957311786711215973e-03 2.375550940632820129e-02 -2.112559974193572998e-02 -7.123516406863927841e-03
9	-1.320671848952770233e-02 -1.541202701628208160e-02 5.481726024299860001e-03 -1.604768820106983185e-02 4.570419900119304657e-03 -8.966288296505808830e-04 -3.458683192729949951e-02 1.810049079358577728e-02 2.772364206612110138e-02 -2.320424653589725494e-02
10	-2.350236102938652039e-02 -5.432941950857639313e-03 -1.835684292018413544e-02 -8.622678928077220917e-03 -1.479093544185161591e-02 1.632171124219894409e-02 -1.653937622904777527e-02 5.752528668381273746e-04 1.559202931821346283e-02 -1.731465943157672882e-02
11	5.843215435743331909e-02 -1.096329931169748306e-02 1.957409270107746124e-02 1.408370491117238998e-02 1.263029314577579498e-02 1.776856184005737305e-02 -1.956272125244140625e-02 1.233953237533569336e-02 -1.777707040309906006e-02 4.627364221960306168e-03
12	-7.298073731362819672e-03 1.478590443730354309e-02 -2.841285662725567818e-03 -7.605302147567272186e-03 1.244771759957075119e-02 -2.416883362457156181e-03 -1.913395710289478302e-02 1.826899941079318523e-03 1.701537705957889557e-02 4.234616644680500031e-03
13	1.207619160413742065e-02 -9.561844170093536377e-03 -3.715539060067385435e-04 -4.169116541743278503e-02 -9.717282839119434357e-03 4.289072751998901367e-02 -3.224334446713328362e-03 -1.213424839079380035e-03 -1.286799670197069645e-03 -3.727395832538604736e-02
14	-7.787322625517845154e-03 5.001646932214498520e-04 -4.738514311611652374e-03 1.815916184568777680e-04 -5.321519915014505386e-03 -2.579892240464687347e-02 -2.400297857820987701e-02 9.130132384598255157e-03 2.451219595968723297e-02 4.049892537295818329e-03
15	3.439599275588989258e-02 -3.194061294198036194e-02 -1.280464581213891506e-03 -6.735230796039104462e-03 1.605550199747085571e-02 -1.034630462527275085e-03 9.154694154858589172e-03 8.788276463747024536e-03 -5.221989005804061890e-03 1.852662302553653717e-02
16	2.549590310081839561e-03 2.542888047173619270e-03 -1.774340867996215820e-02 1.627721451222896576e-02 1.500990055501461029e-02 -1.099062431603670120e-02 -2.096228860318660736e-02 -1.414281502366065979e-02 -3.620035713538527489e-04 9.174511069431900978e-04
17	-4.351192619651556015e-03 -9.485621005296707153e-03 -1.756807602941989899e-02 1.969567686319351196e-02 -2.791764913126826286e-03 8.458958938717842102e-03 -1.625391282141208649e-02 1.717846654355525970e-02 2.227106504142284393e-02 1.249377429485321045e-02
