1	1.146223582327365875e-02 9.333560243248939514e-03 -2.156851813197135925e-02 -1.354987639933824539e-02 -7.165151182562112808e-03 2.021664008498191833e-02 2.918552840128540993e-03 -1.724911294877529144e-02 5.462285480462014675e-04 -5.877778865396976471e-03
2	-1.541288476437330246e-02 1.422313041985034943e-02 -3.649098798632621765e-02 -6.198566406965255737e-02 -1.246558781713247299e-02 -5.910549778491258621e-03 -6.992707494646310806e-03 1.328129973262548447e-02 1.346541941165924072e-02 -1.833479292690753937e-02
3	1.040555629879236221e-02 1.453788578510284424e-02 -3.634772961959242821e-03 -1.666198368184268475e-03 -1.117137260735034943e-02 1.791728893294930458e-03 2.239323779940605164e-02 1.970770582556724548e-02 2.933768182992935181e-02 -3.703479841351509094e-02
4	2.000134997069835663e-02 -2.914571948349475861e-02 1.711355755105614662e-03 1.795379095710813999e-03 1.051296666264533997e-02 3.977362066507339478e-03 -8.686483837664127350e-03 9.674889966845512390e-03 -1.957016810774803162e-02 -4.634166543837636709e-04
5	-2.608743496239185333e-02 1.492056343704462051e-02 -1.857619360089302063e-02 2.546040806919336319e-03 -1.273739524185657501e-02 -2.772771567106246948e-02 3.248086664825677872e-03 1.671211421489715576e-02 -2.208766061812639236e-03 1.214492321014404297e-02
6	3.371311351656913757e-02 -8.661690168082714081e-03 -2.233861945569515228e-02 -2.200979739427566528e-02 -2.795390225946903229e-02 1.974181830883026123e-02 3.674441203474998474e-02 -8.504528552293777466e-03 -1.173707749694585800e-02 1.362644322216510773e-02
7	1.730167865753173828e-02 2.282330766320228577e-03 -2.497396618127822876e-02 3.240554826334118843e-03 8.443661499768495560e-05 3.000926226377487183e-02 -3.307208046317100525e-02 3.314204514026641846e-02 -4.195419605821371078e-03 2.604952827095985413e-02
8	1.980608329176902771e-02 1.138579193502664566e-02 1.329933106899261475e-02 -5.283480510115623474e-03 -9.393940679728984833e-03 1.131086703389883041e-02 1.201199460774660110e-02 -1.644858042709529400e-03 8.041113615036010742e-03 -7.550988811999559402e-03
9	-1.888902112841606140e-02 -3.176169469952583313e-03 -3.289199247956275940e-02 -2.406829595565795898e-02 -8.115756325423717499e-03 -1.159335672855377197e-02 -1.561898738145828247e-02 2.717235311865806580e-02 -8.711938746273517609e-03 -4.689686466008424759e-03
10	1.612383499741554260e-02 -3.678280860185623169e-03 1.774300262331962585e-02 1.620824821293354034e-02 3.200865536928176880e-02 1.290228869765996933e-02 -1.140690222382545471e-02 -1.278022024780511856e-02 2.174591459333896637e-02 -1.369890756905078888e-02
11	-4.213239997625350952e-03 -7.231099996715784073e-03 -2.475883997976779938e-02 3.206394147127866745e-03 3.726183203980326653e-03 -1.660568267107009888e-02 4.129512701183557510e-03 -1.375223975628614426e-02 2.577893249690532684e-02 7.584455423057079315e-03
12	1.617019623517990112e-02 -2.201157622039318085e-02 2.167606912553310394e-02 -1.806556247174739838e-03 1.083973515778779984e-02 8.909333497285842896e-03 -1.756603713147342205e-03 3.805402666330337524e-03 2.427405305206775665e-02 2.879599807783961296e-03
13	-8.078522048890590668e-03 2.696360461413860321e-04 2.439723350107669830e-02 5.318612791597843170e-03 -1.322194188833236694e-02 3.741932660341262817e-02 8.984342217445373535e-03 1.106969267129898071e-02 7.399562309728935361e-05 -6.809253245592117310e-04
14	-8.185611106455326080e-03 -1.175293140113353729e-02 -1.745361834764480591e-02 -1.142648607492446899e-02 2.231524512171745300e-02 -1.691317558288574219e-02 -1.149019226431846619e-02 5.828008055686950684e-03 9.550151415169239044e-03 -7.991546764969825745e-03
15	2.163421548902988434e-02 6.054196972399950027e-03 -1.110365986824035645e-02 -2.306369692087173462e-02 -6.661626510322093964e-03 -6.055407691746950150e-03 -2.986358711495995522e-03 4.004370793700218201e-02 1.653084531426429749e-02 1.334408577531576157e-02
16	6.908621173352003098e-03 1.107067707926034927e-02 1.130393799394369125e-02 2.451672591269016266e-02 -8.768114261329174042e-03 1.707308925688266754e-02 2.426606789231300354e-02 1.226843241602182388e-02 -2.497287001460790634e-03 2.793325483798980713e-02
